Purchase Order No,Supplier Name,Order Date,Delivery Date,Item Name,Item Description,Quantity Ordered,Quantity Delivered,Unit Price,Total Cost,Delivery Status,Defect Rate,Category Barang,Approval Time (Hari),Procurment Lead Time (Hari)
0001/PO/CD/I/2023/CIC/AIMP,CV. Sanjaya - Bekasi,03-01-2023,17-01-2023,BROSUR,"Cetak 1 muka, bw, A480gr, materi: Bukit Permai","1500,00","1500,00","150,00","225.000,00",Finish,0%,MEDIA INFORMASI,5,14
0001/PO/CD/I/2023/CIC/CI,CV. Sanjaya - Bekasi,03-01-2023,17-01-2023,BROSUR,"Cetak 2 muka, bw, A480gr, materi: Dahlia Magnolia","500,00","500,00","350,00","175.000,00",Finish,0%,MEDIA INFORMASI,5,14
0001/PO/CD/I/2023/CIC/CI,CV. Sanjaya - Bekasi,03-01-2023,17-01-2023,BROSUR,"Cetak 1 muka, bw, A480gr, materi: Ruko Matoa","1500,00","1500,00","150,00","225.000,00",Finish,0%,MEDIA INFORMASI,5,14
0001/PO/CD/I/2023/CIC/CI,CV. Sanjaya - Bekasi,03-01-2023,17-01-2023,BROSUR,"Cetak 1 muka, bw, A480gr, materi: Bukit Meranti","2500,00","2500,00","150,00","375.000,00",Finish,0%,MEDIA INFORMASI,5,14
0001/PO/CD/I/2023/CIC/CIE,PT. PLATBOARD LUTSINDO - Bekasi,03-01-2023,07-02-2023,SPANDUK,"Bahan: flexi, Uk: 2x4meter, Materi: my ciputra","2,00","2,00","180.000,00","360.000,00",Finish,0%,MEDIA INFORMASI,8,35
0001/PO/CD/I/2023/CIC/CIE,PT. PLATBOARD LUTSINDO - Bekasi,03-01-2023,07-02-2023,SPANDUK,"Bahan: flexy, Uk: 1x1,5meter, Materi: my ciputra","33,00","33,00","33.750,00","1.113.750,00",Finish,0%,MEDIA INFORMASI,8,35
0001/PO/CD/I/2023/CIC/MKES,ADE ABDILLAH - BOGOR,03-01-2023,19-01-2023,NOMOR RUMAH / RUKO / TOKO,"Acrilic hitam uk. 25x35cm, font putih, font: Impact","8,00","8,00","150.000,00","1.200.000,00",Finish,0%,MEDIA INFORMASI,6,16
0001/PO/CD/I/2023/CIC/MKESE,AIRCON SARANA - BOGOR,07-01-2023,29-01-2023,FREON AC,Freon R410,"4,00","4,00","220.000,00","880.000,00",Finish,0%,PENGOLAH UDARA - PENDINGIN,1,22
0001/PO/CD/I/2024/CIC/AIMP,Mitra Kantor - Jakarta,26-01-2024,19-02-2024,KURSI KERJA,"Tipe Subaru 208, warna hijau","1,00","1,00","700.000,00","700.000,00",Finish,0%,FURNITURE - DEKORASI,1,24
0001/PO/CD/I/2024/CIC/CIE,Toko Pasific Elektronik -  Jonggol,04-01-2024,12-01-2024,LAMPU,"Lampu LED, 19 watt","3,00","3,00","85.000,00","255.000,00",Finish,0%,LISTRIK,4,8
0001/PO/CD/I/2024/CIC/CIE,Toko Pasific Elektronik -  Jonggol,04-01-2024,12-01-2024,LAMPU,"Lampu LED, 10 Watt","5,00","5,00","48.000,00","240.000,00",Finish,0%,LISTRIK,4,8
0001/PO/CD/I/2024/CIC/MKES,Alvin Azizi - Tangerang,03-01-2024,26-01-2024,UMBUL UMBUL,Umbul2 BUKIT VIOLA,"50,00","50,00","42.500,00","2.125.000,00",Finish,0%,KARYA SENI - PENGHARGAAN -SIMBOL,3,23
0002/PO/CD/I/2023/CIC/AIMP,PT. PLATBOARD LUTSINDO - Bekasi,03-01-2023,07-02-2023,BILLBOARD,"Bahan: flexi, lokasi: patung kuda SPBU, Uk. 9X7meter","1,00","1,00","1.917.500,00","1.917.500,00",Finish,0%,MEDIA INFORMASI,5,35
0002/PO/CD/I/2023/CIC/CI,PT. PLATBOARD LUTSINDO - Bekasi,03-01-2023,07-02-2023,BILLBOARD,"Bahan: flexi, lokasi: depan MO, Uk. 10X7meter","1,00","1,00","2.075.000,00","2.075.000,00",Finish,0%,MEDIA INFORMASI,5,35
0002/PO/CD/I/2023/CIC/CI,PT. PLATBOARD LUTSINDO - Bekasi,03-01-2023,07-02-2023,BILLBOARD,"Bahan: flexi, lokasi: underpass, Uk. 17,5x2,5meter","1,00","1,00","1.484.375,00","1.484.375,00",Finish,0%,MEDIA INFORMASI,5,35
0002/PO/CD/I/2023/CIC/CIE,AIRCON SARANA - BOGOR,03-01-2023,29-01-2023,FREON AC,Freon R-22,"2,00","2,00","220.000,00","440.000,00",Finish,0%,PENGOLAH UDARA - PENDINGIN,5,26
0002/PO/CD/I/2023/CIC/MKES,CV. Sanjaya - Bekasi,03-01-2023,17-01-2023,BROSUR,"Cetak 2 muka, bw, A480gr, materi: Viola full hebel & mix","1500,00","1500,00","200,00","300.000,00",Finish,0%,MEDIA INFORMASI,5,14
0002/PO/CD/I/2023/CIC/MKES,CV. Sanjaya - Bekasi,03-01-2023,17-01-2023,BROSUR,"Cetak 1 muka, bw, A480gr, materi: Ruko Viola","1500,00","1500,00","150,00","225.000,00",Finish,0%,MEDIA INFORMASI,5,14
0002/PO/CD/I/2023/CIC/MKESE,TOKO GS,07-01-2023,09-04-2023,LAMPU LED,"10 Watt, Warm white","18,00","18,00","28.000,00","504.000,00",Finish,0%,LISTRIK,1,92
0002/PO/CD/I/2024/CIC/AIMP,Ace Hardware - Cibubur,29-01-2024,21-05-2024,METERAN,"Dimensi : 2.5 cm x 7.5 meter, self locking","1,00","1,00","76.900,00","76.900,00",Finish,0%,PERALATAN KERJA LAPANGAN,4,113
0002/PO/CD/I/2024/CIC/CI,Alvin Azizi - Tangerang,03-01-2024,29-01-2024,SPANDUK,"Polyster sablon, Uk. 1,15x8 meter, materi : rumah 2 kamar mulai 260jt","100,00","100,00","68.000,00","6.800.000,00",Finish,0%,MEDIA INFORMASI,3,26
0002/PO/CD/I/2024/CIC/CI,Alvin Azizi - Tangerang,03-01-2024,29-01-2024,SPANDUK,"Polyster sablon, Uk. 1,15x8 meter, materi : rumah siap huni hemat 120juta","100,00","100,00","68.000,00","6.800.000,00",Finish,0%,MEDIA INFORMASI,3,26
0002/PO/CD/I/2024/CIC/CIE,ACE HARDWARE CIBUBUR - Cibubur,09-01-2024,05-02-2024,KESET,"Material: PVC, Dimensi: 70x50 cm, Anti-slip","3,00","3,00","89.900,00","269.700,00",Finish,0%,KEBERSIHAN,5,27
0002/PO/CD/I/2024/CIC/CIE,ACE HARDWARE CIBUBUR - Cibubur,09-01-2024,05-02-2024,KESET,"Material: PVC, Dimensi: 80x130 cm, Anti-slip","4,00","4,00","229.900,00","919.600,00",Finish,0%,KEBERSIHAN,5,27
0002/PO/CD/I/2024/CIC/MKES,CV. Harapan Mandiri -Bogor,09-01-2024,01-02-2024,TEMPAT SAMPAH,"Warna hijau, kapasitas 60 liter, tiang tanam","63,00","63,00","360.000,00","22.680.000,00",Finish,0%,KEBERSIHAN,1,23
0002/PO/CD/I/2024/CIC/MKESE,FUKU STORE 2022 - TOKOPEDIA,31-01-2024,07-02-2024,HIASAN DINDING,Hiasan Imlek - Hiasan Dinding dengan bandul,"1,00","1,00","108.000,00","108.000,00",Finish,0%,KARYA SENI - PENGHARGAAN -SIMBOL,1,7
0002/PO/CD/I/2024/CIC/MKESE,FUKU STORE 2022 - TOKOPEDIA,31-01-2024,07-02-2024,HIASAN DINDING,Hiasan Imlek - Hiasan Dinding tanpa bandul,"1,00","1,00","162.000,00","162.000,00",Finish,0%,KARYA SENI - PENGHARGAAN -SIMBOL,1,7
0003/PO/CD/I/2023/CIC/CI,CV. SUKSES HUTAMA ELITE,03-01-2023,20-01-2023,MAINBOARD PRINTER,"Head Printer EPSON L3210, kabel","1,00","1,00","1.600.000,00","1.600.000,00",Finish,0%,KOMPUTER,6,17
0003/PO/CD/I/2023/CIC/CIE,PT. PLATBOARD LUTSINDO - Bekasi,03-01-2023,07-02-2023,SPANDUK,"Bahan: flexi korcin, Uk 1,5 x 2 meter, materi: penunjuk arah","1,00","1,00","105.000,00","105.000,00",Finish,0%,MEDIA INFORMASI,6,35
0003/PO/CD/I/2023/CIC/MKES,PT. PLATBOARD LUTSINDO - Bekasi,07-01-2023,17-03-2023,BILLBOARD,"Bahan: Flexi, Uk. 10x7meter, Lokasi: Depan FM, materi: Viola","1,00","1,00","2.075.000,00","2.075.000,00",Finish,0%,MEDIA INFORMASI,1,69
