Purchase Order No,Supplier Name,Order Date,Delivery Date,Item Name,Item Description,Quantity Ordered,Quantity Delivered,Unit Price,Total Cost,Delivery Status,Defect Rate,Category Barang,Approval Time (Hari),Procurment Lead Time (Hari)
0001/PO/CD/I/2024/CIC/AIMP,Mitra Kantor - Jakarta,26-01-2024,19-02-2024,KURSI KERJA,"Tipe Subaru 208, warna hijau",1,1,"700,000.00","700,000.00",Finish,0%,FURNITURE - DEKORASI,1,24
0001/PO/CD/I/2024/CIC/CI,TOKO GS,3/1/2024,,TALI TAMBANG,"Uk. 8mm, material : plastik, 1 roll : 200 meter",1,,"450,000.00",0,Dalam Proses,0%,RUPA - RUPA,3,
0001/PO/CD/I/2024/CIC/CIE,Toko Pasific Elektronik -  Jonggol,4/1/2024,12/1/2024,LAMPU,"Lampu LED, 19 watt",3,3,"85,000.00","255,000.00",Finish,0%,LISTRIK,4,8
0001/PO/CD/I/2024/CIC/CIE,Toko Pasific Elektronik -  Jonggol,4/1/2024,12/1/2024,LAMPU,"Lampu LED, 10 Watt",5,5,"48,000.00","240,000.00",Finish,0%,LISTRIK,4,8
0001/PO/CD/I/2024/CIC/MKES,Alvin Azizi - Tangerang,3/1/2024,26-01-2024,UMBUL UMBUL,Umbul2 BUKIT VIOLA,50,50,"42,500.00","2,125,000.00",Finish,0%,KARYA SENI - PENGHARGAAN -SIMBOL,3,23
0001/PO/CD/I/2024/CIC/MKESE,TOKO PATUNG ONLINE - TOKOPEDIA,26-01-2024,,HIASAN DINDING,"Diameter 35 cm, warna merah",25,,"40,000.00",0,Dalam Proses,0%,KARYA SENI - PENGHARGAAN -SIMBOL,2,
0001/PO/CD/I/2024/CIC/MKESE,TOKO PATUNG ONLINE - TOKOPEDIA,26-01-2024,,HIASAN DINDING,"Diameter 45 cm, warna merah",40,,"55,000.00",0,Dalam Proses,0%,KARYA SENI - PENGHARGAAN -SIMBOL,2,
0002/PO/CD/I/2024/CIC/AIMP,Ace Hardware - Cibubur,29-01-2024,21-05-2024,METERAN,"Dimensi : 2.5 cm x 7.5 meter, self locking",1,1,"76,900.00","76,900.00",Finish,0%,PERALATAN KERJA LAPANGAN,4,113
0002/PO/CD/I/2024/CIC/CI,Alvin Azizi - Tangerang,3/1/2024,29-01-2024,SPANDUK,"Polyster sablon, Uk. 1,15x8 meter, materi : rumah 2 kamar mulai 260jt",100,100,"68,000.00","6,800,000.00",Finish,0%,MEDIA INFORMASI,3,26
0002/PO/CD/I/2024/CIC/CI,Alvin Azizi - Tangerang,3/1/2024,29-01-2024,SPANDUK,"Polyster sablon, Uk. 1,15x8 meter, materi : rumah siap huni hemat 120juta",100,100,"68,000.00","6,800,000.00",Finish,0%,MEDIA INFORMASI,3,26
0002/PO/CD/I/2024/CIC/CIE,ACE HARDWARE CIBUBUR - Cibubur,9/1/2024,5/2/2024,KESET,"Material: PVC, Dimensi: 70x50 cm, Anti-slip",3,3,"89,900.00","269,700.00",Finish,0%,KEBERSIHAN,5,27
0002/PO/CD/I/2024/CIC/CIE,ACE HARDWARE CIBUBUR - Cibubur,9/1/2024,5/2/2024,KESET,"Material: PVC, Dimensi: 80x130 cm, Anti-slip",4,4,"229,900.00","919,600.00",Finish,0%,KEBERSIHAN,5,27
0002/PO/CD/I/2024/CIC/MKES,CV. Harapan Mandiri -Bogor,9/1/2024,1/2/2024,TEMPAT SAMPAH,"Warna hijau, kapasitas 60 liter, tiang tanam",63,63,"360,000.00","22,680,000.00",Finish,0%,KEBERSIHAN,1,23
