Reporting - Report PO | PIM;;;;;;;;;;;;;;;
Purchase Order No;Supplier Name;Order Date;Delivery Date;Item ID;Item Name;Item Description;Quantity Ordered;Quantity Delivered;Unit Price;Total Cost;Delivery Status;Defect Rate;Category Barang;Approval Time;Procurment Lead Time
0001/PO/CD/I/2023/CIC/AIMP;CV. Sanjaya - Bekasi;03-01-2023;15-01-2023;31379;BROSUR;"Cetak 1 muka, bw, A480gr, materi: Bukit Permai";"1500,00";"1500,00";150;"225.000,00";Finish;0%;MEDIA INFORMASI;5 Hari;12 Hari
0001/PO/CD/I/2023/CIC/CI;CV. Sanjaya - Bekasi;03-01-2023;15-01-2023;31379;BROSUR;"Cetak 2 muka, bw, A480gr, materi: Dahlia Magnolia";"500,00";"500,00";350;"175.000,00";Finish;0%;MEDIA INFORMASI;5 Hari;12 Hari
0001/PO/CD/I/2023/CIC/CI;CV. Sanjaya - Bekasi;03-01-2023;15-01-2023;31379;BROSUR;"Cetak 1 muka, bw, A480gr, materi: Ruko Matoa";"1500,00";"1500,00";150;"225.000,00";Finish;0%;MEDIA INFORMASI;5 Hari;12 Hari
0001/PO/CD/I/2023/CIC/CI;CV. Sanjaya - Bekasi;03-01-2023;15-01-2023;31379;BROSUR;"Cetak 1 muka, bw, A480gr, materi: Bukit Meranti";"2500,00";"2500,00";150;"375.000,00";Finish;0%;MEDIA INFORMASI;5 Hari;12 Hari
0001/PO/CD/I/2023/CIC/CIE;PT. PLATBOARD LUTSINDO - Bekasi;03-01-2023;13-01-2023;31388;SPANDUK;"Bahan: flexi, Uk: 2x4meter, Materi: my ciputra";"2,00";"2,00";180000;"360.000,00";Finish;0%;MEDIA INFORMASI;8 Hari;10 Hari
0001/PO/CD/I/2023/CIC/CIE;PT. PLATBOARD LUTSINDO - Bekasi;03-01-2023;13-01-2023;31388;SPANDUK;"Bahan: flexy, Uk: 1x1,5meter, Materi: my ciputra";"33,00";"33,00";33750;"1.113.750,00";Finish;0%;MEDIA INFORMASI;8 Hari;10 Hari
0001/PO/CD/I/2023/CIC/MKES;ADE ABDILLAH - BOGOR;03-01-2023;19-01-2023;31398;NOMOR RUMAH / RUKO / TOKO;"Acrilic hitam uk. 25x35cm, font putih, font: Impact";"8,00";"8,00";150000;"1.200.000,00";Finish;0%;MEDIA INFORMASI;6 Hari;16 Hari
0001/PO/CD/I/2023/CIC/MKESE;AIRCON SARANA - BOGOR;07-01-2023;25-01-2023;31486;FREON AC;Freon R410;"4,00";"4,00";220000;"880.000,00";Finish;0%;PENGOLAH UDARA - PENDINGIN;1 Hari;18 Hari
0002/PO/CD/I/2023/CIC/AIMP;PT. PLATBOARD LUTSINDO - Bekasi;03-01-2023;13-01-2023;31370;BILLBOARD;"Bahan: flexi, lokasi: patung kuda SPBU, Uk. 9X7meter";"1,00";"1,00";1917500;"1.917.500,00";Finish;0%;MEDIA INFORMASI;5 Hari;10 Hari
0002/PO/CD/I/2023/CIC/CI;PT. PLATBOARD LUTSINDO - Bekasi;03-01-2023;13-01-2023;31370;BILLBOARD;"Bahan: flexi, lokasi: depan MO, Uk. 10X7meter";"1,00";"1,00";2075000;"2.075.000,00";Finish;0%;MEDIA INFORMASI;5 Hari;10 Hari
0002/PO/CD/I/2023/CIC/CI;PT. PLATBOARD LUTSINDO - Bekasi;03-01-2023;13-01-2023;31370;BILLBOARD;"Bahan: flexi, lokasi: underpass, Uk. 17,5x2,5meter";"1,00";"1,00";1484375;"1.484.375,00";Finish;0%;MEDIA INFORMASI;5 Hari;10 Hari
0002/PO/CD/I/2023/CIC/CIE;AIRCON SARANA - BOGOR;03-01-2023;25-01-2023;31486;FREON AC;Freon R-22;"2,00";"2,00";220000;"440.000,00";Finish;0%;PENGOLAH UDARA - PENDINGIN;5 Hari;22 Hari
0002/PO/CD/I/2023/CIC/MKES;CV. Sanjaya - Bekasi;03-01-2023;15-01-2023;31379;BROSUR;"Cetak 2 muka, bw, A480gr, materi: Viola full hebel & mix";"1500,00";"1500,00";200;"300.000,00";Finish;0%;MEDIA INFORMASI;5 Hari;12 Hari
